Weight,Length1,Length2,Length3,Height,Width,Species
1198,42.1,37.4,43,7.1218,5.4509,Pike
1218,32,57.7,67.7,9.4145,3.5427,Pike
1405,47.2,42.6,46.2,8.7141,4.1295,Pike
1470,56.1,54.4,64.2,9.6943,3.2304,Pike
352,56.3,47.5,53.4,8.6429,6.8914,Pike
1193,38.9,56.3,50,8.9046,3.1473,Pike
1596,45.3,60.7,49,9.5992,6.0655,Pike
242,41,33.9,54.2,10.5954,4.9945,Pike
1573,32,32.2,36.8,6.2092,4.6437,Pike
841,37.2,45.5,35.7,9.8025,4.6369,Pike
278,53.1,46,61,6.599,5.1314,Pike
1579,56.2,42.4,41.9,7.604,4.4313,Pike
1250,54.4,53.9,66.3,10.9286,6.93,Pike
905,52.4,36.7,42.9,9.7626,4.0385,Pike
780,51.2,35.8,46,8.7854,6.4856,Pike
670,53.7,49.1,43.8,5.6334,4.729,Pike
1460,57.1,35.7,41.5,7.1778,6.4845,Pike
236,43.9,44.9,36.6,8.3183,5.666,Pike
1578,31.9,38.3,41.9,5.3616,3.2465,Pike
327,40.6,36.6,63.8,7.543,4.9237,Pike
532,41.2,40.1,46.3,7.4292,5.8884,Pike
1531,33.3,47.9,38.7,8.6551,5.396,Pike
1279,46,33.2,50.7,5.9707,3.0448,Pike
864,55.7,59.7,62.9,7.6148,6.7594,Pike
1448,49.4,51,54.1,10.3039,6.3628,Pike
622,30.5,58.5,61.9,5.6683,7.6092,Pike
1640,32.6,47.3,51.5,6.9697,7.3162,Pike
1220,35.6,35.9,44.1,6.7114,3.2739,Pike
389,33.2,55.2,43.6,9.5794,6.9982,Pike
273,47.3,62.5,37.5,8.5333,3.9729,Pike
1446,45.6,51.8,47.1,7.1136,6.0628,Pike
1106,40.4,57.4,45.6,5.2076,6.1423,Pike
835,55.1,47.1,51.6,8.4388,6.957,Pike
229,49,39,45.5,5.2002,6.3038,Pike
581,40.1,54.7,64,7.282,6.6671,Pike
1462,49,47,62.8,10.3204,5.4138,Pike
1425,31.4,45.8,34.5,5.1561,4.2086,Pike
1233,46.5,43.4,46.8,8.9427,6.7961,Pike
407,54,63.6,59.6,7.5518,3.3079,Pike
1393,50.1,35.7,60.8,5.4202,6.7652,Pike
252,56.8,39.5,46.2,9.7653,6.264,Pike
784,34.1,60.6,65.1,9.8968,5.368,Pike
247,47.4,37.9,63.1,5.2926,5.469,Pike
1300,43.7,38.7,57.8,8.2494,3.4284,Pike
579,40.6,48.4,59.8,6.9762,5.4909,Pike
966,32.9,32.4,46.5,9.169,5.0237,Pike
1411,38.4,58.5,36.6,9.6308,3.9627,Pike
1340,54.7,59.1,34.5,9.554,7.0461,Pike
778,56,46.5,35,5.1251,4.2834,Pike
1380,39.3,52.1,67.5,7.3076,7.2313,Pike
237,53.3,54.9,47.6,7.2673,7.7441,Pike
1237,38.5,42.3,45,6.3813,4.9194,Pike
1492,35.6,44.7,46.8,7.5872,6.395,Pike
1302,53,42.3,60,10.4872,4.476,Pike
516,38.2,42.5,40.6,6.6686,7.3034,Pike
1539,48.2,62.8,34.2,6.7662,6.4905,Pike
1091,40.2,47.5,61.7,5.9456,7.1285,Pike
778,52.5,56.6,63.7,5.1323,6.6639,Pike
200,58.9,47.8,42.5,5.8653,5.0726,Pike
256,57.1,50.3,50.4,9.3436,7.5671,Pike
1049,38.5,42.3,34.6,8.2715,4.1136,Pike
1313,54.7,46.4,56.9,6.7567,6.0103,Pike
1053,55.2,36.4,35.8,10.1813,7.8786,Pike
1439,58.8,42,55.2,7.296,3.4131,Pike
404,43,32.8,40.5,8.7975,3.1708,Pike
696,48.4,51,54.2,8.3484,5.4303,Pike
1643,43.2,50.6,58.2,10.2833,5.4345,Pike
1189,35,59.1,59.1,9.8628,3.7909,Pike
1129,56.6,49.5,65.4,10.969,6.9628,Pike
307,49.9,48.2,48.3,7.0401,4.0621,Pike
671,34.1,42.1,55,6.4526,4.4087,Pike
1637,58.6,35.9,54.2,5.5484,5.477,Pike
1081,36.9,45.4,63.3,10.4579,7.7447,Pike
451,32.1,57.6,39.9,7.0289,7.9401,Pike
879,34.2,32.7,42,8.567,5.93,Pike
218,55.4,37.2,68,10.7487,7.3518,Pike
1247,50.7,37.9,60.4,9.0008,5.0456,Pike
975,33.6,60.8,59.4,6.7487,3.1055,Pike
325,34,55.8,39.2,9.5439,5.6486,Pike
204,58.3,56,35,10.961,3.1141,Pike
1590,58.9,60,59.7,8.7966,5.1733,Pike
1310,30.3,61,53.4,8.4424,5.2216,Pike
534,38.3,49.9,51.8,6.6657,5.9327,Pike
1498,47.6,32.2,53,8.3105,7.3073,Pike
1234,52,57.8,67.3,9.5142,3.1323,Pike
1528,38.9,33,49.4,5.8669,5.9721,Pike
1471,56.7,55.6,66.7,8.7422,4.4102,Pike
744,44,57.2,56.7,8.4144,5.9664,Pike
1060,37.2,54.4,44.3,8.8178,3.6699,Pike
1550,37.7,32.8,50.9,9.6138,6.0041,Pike
1547,33.7,37.9,65.9,5.7656,4.6682,Pike
1226,31.4,59.8,49.3,10.2606,7.9694,Pike
1610,52.5,50.9,67.9,7.9719,3.0599,Pike
1239,44.9,37.5,52.3,6.0013,5.3281,Pike
1089,55.1,57.9,46.6,7.4924,6.0422,Pike
890,58.9,40.5,61.9,6.8751,4.9647,Pike
1213,47.5,46.6,40.5,6.4322,5.209,Pike
459,38.5,33.7,45.3,10.5997,6.5376,Pike
797,44.1,51,58.4,5.8214,6.15,Pike
1045,32.1,50.2,37.6,8.5578,6.7327,Pike
1117,47.6,53.8,37.3,8.5711,7.4298,Pike
340,45.4,61.7,55.3,5.5959,6.5272,Pike
1144,47,51.3,46.3,5.8934,6.9648,Pike
1039,35.4,60.5,44.1,9.2687,6.4848,Pike
750,51,49.7,45.5,6.807,5.0251,Pike
523,41.6,62.4,41,5.4256,6.2447,Pike
666,50.7,56.5,58.9,8.7132,5.8899,Pike
636,40.8,34.8,65.4,10.3593,5.8747,Pike
1232,57.6,39.7,55.3,7.7764,3.9923,Pike
1293,48.5,58.4,54.2,6.3351,6.7169,Pike
623,57.3,55.1,61.1,9.8772,6.5156,Pike
271,39.7,55.7,55.5,5.0149,5.6741,Pike
1568,39.9,46.4,59.2,8.2926,5.995,Pike
445,35.5,41.8,37.4,10.8817,3.8931,Pike
1289,54.2,49.9,35.4,6.267,7.6878,Pike
1307,34.3,60.2,61.6,10.4522,5.8648,Pike
362,41.9,33.8,37.3,5.203,6.0672,Pike
1306,32.3,46.5,63.1,6.528,7.6987,Pike
904,53.4,39.2,45.5,7.4715,6.9744,Pike
1516,40.9,49.8,34.7,7.8898,4.7829,Pike
651,35.4,59.3,48.3,9.7031,5.0945,Pike
568,45.3,58.6,67.9,5.2182,7.7313,Pike
507,37.1,47.9,66.7,8.4867,4.0648,Pike
803,54.7,41.7,42.1,8.6117,4.6141,Pike
1279,53.6,54.8,45.8,8.1801,7.7698,Pike
1228,33.5,44.7,52.8,10.8916,7.9688,Pike
1135,48.5,52.5,35.4,9.7752,7.4581,Pike
606,43,59.5,41.8,7.2014,3.0219,Pike
1575,54.5,63.9,57.9,5.9506,6.0389,Pike
1437,56,48.9,60.8,5.0586,6.9669,Pike
437,35.5,40.1,55.1,7.5192,7.5432,Pike
307,58.1,61.8,66.7,10.7091,6.6827,Pike
486,32.6,49.2,50.5,7.3004,6.5865,Pike
1436,36,45.9,44.1,8.6943,6.6567,Pike
1396,45.5,32.4,57,8.2466,5.2737,Pike
1217,45.9,37.3,54.7,9.1108,7.4644,Pike
1123,44.6,61,51.8,5.2595,3.729,Pike
1617,50.5,35.6,35.1,9.8671,4.5602,Pike
849,54.3,50.5,60.9,9.158,6.3244,Pike
894,50.8,33,58.3,6.5226,5.8806,Pike
324,55,42.2,52.5,7.8291,5.8575,Pike
386,53.1,42.5,53.5,8.8527,7.9113,Pike
368,42.7,52.4,47.9,5.246,6.0496,Pike
687,40.7,40,65.7,5.0418,4.7255,Pike
1046,47,59.3,59.2,6.836,5.6338,Pike
1465,47.8,44.1,41.6,9.4541,5.3456,Pike
901,51.2,38.3,58.4,7.079,5.3421,Pike
878,48.1,57.4,54.7,8.9309,6.7689,Pike
1560,46,59.7,53.4,6.7025,6.4889,Pike
787,36.5,35.1,66.1,8.7731,4.8669,Pike
253,41.8,62.7,45.3,7.7372,3.8659,Pike
933,49.2,37.9,54.7,8.261,3.044,Pike
765,50.5,57,60.5,5.0697,3.0302,Pike
868,42.2,51.7,56.9,6.1585,6.0026,Pike
511,41.1,36.9,42.4,7.9739,6.8918,Pike
883,39,42.5,40.4,9.032,6.3647,Pike
486,46.7,35.6,58,6.1837,6.9739,Pike
712,40.9,53.4,35.8,6.2138,4.7939,Pike
417,31.6,48.6,34.2,6.2362,7.1281,Pike
1201,58.7,59.3,61.5,6.1909,7.7347,Pike
1550,31.2,35.1,46.8,6.4287,4.2319,Pike
1649,33.6,48,43.8,10.9794,3.6219,Pike
1489,37.3,47,53.1,9.4874,7.8925,Pike
298,32.6,56.4,62.5,10.3392,6.1079,Pike
873,44.6,40.1,67.7,9.3693,6.4892,Pike
246,54.9,39.6,42.5,5.0767,7.5671,Pike
1626,57,46.2,52.4,7.4242,3.012,Pike
497,47.4,61.8,36.2,9.0564,6.9825,Pike
1000,38.2,47.6,50.6,5.6501,4.0608,Pike
224,55.3,43.7,60.5,8.3766,3.0624,Pike
1426,37,43.5,39.1,8.148,4.1722,Pike
554,31.4,35.3,47.8,6.9704,7.3863,Pike
1299,53.4,42.5,52.8,5.9689,3.9889,Pike
1572,54.6,43.6,46.5,8.7042,7.5383,Pike
467,56,39.6,42.1,5.7838,5.0138,Pike
928,43.3,44.9,60,5.7144,6.8256,Pike
1385,56.1,47.4,38.8,6.9309,3.7718,Pike
1101,37.4,48.7,48.5,5.9358,6.5861,Pike
1099,36.9,52.5,61.5,9.6124,4.7872,Pike
738,36.5,52.1,60.8,8.5206,3.4156,Pike
562,46,56.7,57,7.4762,7.8083,Pike
457,32.4,57.9,62.4,8.2266,4.091,Pike
760,56.5,46.7,43.9,5.5755,6.402,Pike
358,52.1,55,54.4,5.8938,4.8345,Pike
1021,51.5,39.8,47.7,7.5623,6.9587,Pike
492,40.6,36.4,37.9,5.3785,5.2402,Pike
1601,46,34.3,46.6,10.6843,3.5885,Pike
225,46.6,44.9,39.5,7.5059,3.6146,Pike
1036,42.8,51.8,53.7,9.5843,6.828,Pike
801,43.1,37,61.7,6.7012,5.5604,Pike
387,53,35.3,55.9,7.3358,3.2274,Pike
703,58,47.7,60.1,5.9472,3.4214,Pike
1586,46.9,63.8,38.4,5.1574,6.2184,Pike
1459,50,45.4,34.1,6.3037,3.218,Pike
318,31.7,33.9,34.2,5.9242,5.8555,Pike
477,56.1,52.5,47.6,10.5133,6.3547,Pike
486,51.8,61.5,54.2,9.3189,5.8224,Pike
1420,34.2,55.9,41.5,8.0041,3.56,Pike
769,34.1,33.8,53.4,10.0815,3.751,Pike
1635,42.9,62.5,55.9,9.9981,6.6398,Pike
1054,34.9,60,67.7,8.5359,4.753,Pike
1175,36,52.6,65.4,9.7046,6.4451,Pike
1548,58,53.1,49.8,6.4651,7.9337,Pike
1523,48.4,60.2,45.8,7.482,6.2213,Pike
685,50.5,36.8,49.1,7.8877,6.3197,Pike
938,42.2,48.1,60.1,6.217,3.6162,Pike
486,57.8,38.3,35.5,8.6324,5.508,Pike
1152,50.2,42.6,60.4,8.3579,6.6193,Pike
1176,39.9,61.2,34.3,7.8884,5.8307,Pike
943,41.5,40.6,47.9,6.3229,3.2578,Pike
1181,54.7,33.1,48,6.2151,5.1314,Pike
426,47.2,60.3,60.6,10.1434,3.9844,Pike
1211,35.5,33.7,47.5,6.0105,3.1368,Pike
1010,32.7,54.4,61.8,5.1533,5.4779,Pike
852,38.4,37.4,34.2,5.5433,6.4995,Pike
1633,49.1,34.3,36.9,8.2612,3.8712,Pike
684,57.7,38.3,55.9,5.5425,7.4905,Pike
1650,56.2,54.4,38.4,8.4023,7.4201,Pike
325,35.3,41,65.4,8.6232,3.1545,Pike
1032,32.4,55,46.6,6.8046,7.4834,Pike
357,54.1,46.8,43.4,5.8035,6.9165,Pike
1645,41.7,48.9,36.6,5.5872,7.3196,Pike
1299,34.9,43.1,35.6,8.7845,5.6151,Pike
817,50,53.2,53.7,8.4997,3.2313,Pike
1287,42.9,49.4,66.1,8.406,4.9106,Pike
1453,35.5,60.6,65.1,7.1567,7.8777,Pike
848,32.3,34.7,65.8,7.3226,6.5092,Pike
986,44.2,46.8,67.6,9.1364,6.6013,Pike
1610,43.4,61.1,46.3,6.4348,4.7823,Pike
818,33.5,58.4,66.7,8.283,6.0587,Pike
1248,49.7,56.9,38.3,10.4495,7.1287,Pike
862,43.1,53.1,42.7,10.5148,7.9958,Pike
570,55.7,56.5,45.4,5.8316,7.7772,Pike
357,42.5,46.3,61.3,6.4737,7.16,Pike
574,53.9,37.9,61.8,6.8087,6.8489,Pike
1300,56.3,39,35.9,6.8065,5.2126,Pike
1464,48.3,63.4,45.1,7.0145,5.3069,Pike
767,32.9,63.2,67,8.6671,5.6764,Pike
1164,46.8,52.1,57,9.5601,6.5975,Pike
845,41.5,37,49.7,10.1272,6.9094,Pike
309,58.5,55.2,61.6,9.1588,5.1747,Pike
861,55.4,58.8,54.6,8.3796,7.898,Pike
572,41.3,46.2,57.7,9.837,5.8742,Pike
824,37,36.7,67.5,8.5605,3.4618,Pike
393,39.5,63.6,39.4,10.0524,5.6367,Pike
800,52.7,34.7,37.7,10.653,3.5749,Pike
1385,51,46.7,41,7.3598,3.8178,Pike
899,55,40.3,38.4,9.7443,3.4831,Pike
570,55.1,51.1,51.7,5.4601,6.8902,Pike
1321,46.9,41.6,54.4,7.0414,3.2604,Pike
904,53.2,42.6,39.3,6.45,3.985,Pike
430,46.8,33.9,60.5,6.6704,4.3657,Pike
1259,34.5,59,57.4,8.8008,4.8149,Pike
441,42.9,56.7,41.5,8.6775,4.7561,Pike
1495,55.4,47,60.9,7.9332,3.1731,Pike
711,51.2,53.8,44.5,5.1585,6.1538,Pike
229,46.1,54.1,37.7,10.9591,5.7314,Pike
1029,34.2,61.7,48.1,5.3356,5.9353,Pike
453,57.9,57.9,54.3,8.412,4.5041,Pike
1291,50.1,37.1,49.9,7.2383,5.812,Pike
1204,51.5,42.3,48.8,5.634,3.5886,Pike
462,55.9,46.9,35.5,6.2859,6.2935,Pike
1467,35.4,53.1,59.9,9.0649,3.2218,Pike
694,41,33.4,41.3,5.1911,5.1449,Pike
1599,53.1,59.7,35.7,10.7575,5.7257,Pike
767,30.2,34.7,59.1,5.3726,6.2874,Pike
683,32.1,40.1,49.7,5.6604,5.7441,Pike
222,52.9,45.3,59.1,7.4748,3.2849,Pike
823,55.5,63.4,57.5,10.5784,5.1699,Pike
1353,52.1,52.7,52.3,10.0968,3.7823,Pike
1281,53.5,61.6,59.3,6.9054,7.874,Pike
555,51.5,52.3,43.4,10.7696,4.4541,Pike
208,40.3,46.3,35.7,6.0029,4.2784,Pike
658,54.5,58.1,55.9,8.4515,7.9313,Pike
1163,33.5,43.2,67.8,8.3782,7.2706,Pike
1169,57.2,52.9,45,8.7296,4.965,Pike
934,45,38.6,60.6,9.3486,5.6827,Pike
543,34.3,61.5,58.1,6.1594,4.8553,Pike
1260,40.3,50.7,48.7,9.4225,6.7155,Pike
264,37.6,33.2,54.9,8.152,6.5477,Pike
256,35,34.8,49.6,9.641,7.4759,Pike
401,57,37.3,66.5,7.3972,7.8506,Pike
1601,41.6,36.5,43.9,7.793,5.1238,Pike
856,56.7,47.7,45.3,7.7884,3.9079,Pike
1420,36.6,33.5,64.9,10.0813,4.3633,Pike
1365,50.2,51.2,64.2,5.2945,3.5635,Pike
859,42,52.7,54.9,7.3049,5.7173,Pike
1012,48.5,44.6,56.9,5.2777,3.1697,Pike
528,58.7,63.8,36.7,6.9342,5.8941,Pike
1400,30.8,43.8,37.2,7.3437,6.5988,Pike
1460,51,48.6,48.6,5.8676,4.9931,Pike
753,30.7,41.5,43.6,7.5078,7.7749,Pike
1207,51.5,56.5,41.3,10.6526,5.0894,Pike
271,33.8,54.6,34.7,5.2398,4.4873,Pike
1623,55.9,60.5,37.1,5.926,6.9857,Pike
253,44.8,46.6,62.3,6.2051,4.759,Pike
999,47.3,45.9,41.8,10.8915,5.7638,Pike
1355,40.6,42.9,64.6,8.3545,3.5658,Pike
630,45.6,51,54.3,7.1683,6.5742,Pike
592,58.8,43.8,62.4,5.6108,3.899,Pike
200,51.5,34.1,55.1,5.8648,5.6898,Pike
543,37.6,36,39.2,9.5369,5.8723,Pike
822,57,41.7,43.2,8.6349,3.188,Pike
470,46.8,62.7,40.5,5.8273,6.8176,Pike
330,31.6,45.1,65.1,9.277,4.9685,Pike
611,33.7,42.6,50.7,9.776,4.6458,Pike
991,46.5,52.1,43,10.5175,7.6212,Pike
840,41.8,48.8,62,10.5397,4.3604,Pike
827,30.4,59.7,47.4,7.6788,4.0331,Pike
1059,41.8,40.3,56.2,7.2345,3.005,Pike
812,30.6,41.5,42.7,9.5851,4.3907,Pike
1203,55.1,57.5,67.4,6.1661,3.6705,Pike
812,41.4,34.1,61,10.0045,3.4359,Pike
1084,42.6,41,66.6,6.2297,4.9705,Pike
1266,32.7,54.8,37.1,8.3549,5.5288,Pike
1547,45.7,44,47.3,7.9054,6.5714,Pike
255,31.2,40.3,45.2,10.2979,3.7713,Pike
932,38.5,41,65.6,5.1618,4.6207,Pike
1489,31.6,40.1,45.8,8.886,6.5962,Pike
1483,56.1,62.1,48.5,5.6403,7.5253,Pike
572,56.1,53.9,66,8.3106,6.578,Pike
217,32.1,38.6,49.1,9.5963,7.21,Pike
372,39.2,62.2,40,5.5252,3.124,Pike
1503,36.6,61.7,48.9,6.6581,4.6991,Pike
239,48.1,47.4,63.7,7.8881,4.376,Pike
573,34.9,34.3,38,10.6345,4.7626,Pike
1621,30.5,37,64.4,9.9348,5.1821,Pike
721,38.1,60,50.4,6.5135,5.3506,Pike
579,59,58.4,60.6,8.5911,6.0302,Pike
252,58.9,52.1,50,10.5485,6.3837,Pike
617,36.9,54.1,50.6,9.7922,4.4219,Pike
1009,36.5,43.2,41,5.5936,4.9466,Pike
1426,43.1,51,57.3,7.232,6.7036,Pike
1086,39,49.7,55.2,9.6704,4.4413,Pike
905,50.4,43.6,38,8.5443,5.8601,Pike
989,31.8,46.8,65.9,10.2972,3.9584,Pike
244,58.3,62.3,66.3,6.5172,5.7429,Pike
456,51.1,60.5,67.4,8.0613,6.8216,Pike
1253,48.6,50.9,44,10.8579,7.9621,Pike
1529,56.3,36.3,66.7,7.9579,6.6499,Pike
469,52.3,56,66,7.6397,7.6682,Pike
878,50.7,35.6,40.7,8.3076,7.5633,Pike
1444,39.9,42.1,66.6,7.1032,6.2354,Pike
1278,50.9,37.3,53,7.6591,5.5779,Pike
946,52.7,56.6,37.2,7.4848,3.5003,Pike
646,58.5,61.9,46.5,7.1796,6.4309,Pike
1575,51.8,34.8,62.5,9.7243,5.9714,Pike
784,49.9,63,39.2,8.4341,5.0264,Pike
1388,42.3,51.3,36,9.1599,6.4423,Pike
792,46.6,47.3,58.5,5.4604,5.5683,Pike
788,43.5,41.1,53.3,7.1944,4.4294,Pike
1050,30.7,52.2,36,9.4539,5.153,Pike
801,52.3,37.6,58.7,7.8635,3.6376,Pike
1236,53.4,55.7,66.6,8.9237,5.5974,Pike
428,38.6,61,61.1,8.8344,5.1421,Pike
980,48.4,48.7,60,8.6136,3.3619,Pike
1073,40.1,54.9,55.9,10.1418,4.2741,Pike
1648,35.8,47.8,57,5.5536,5.941,Pike
895,31.9,46.7,47.2,10.5797,6.5677,Pike
1024,33.4,38.6,43.7,6.808,3.4116,Pike
1017,44.3,51.3,54.8,5.446,4.4362,Pike
1535,47.3,46.6,55.9,8.0777,7.2775,Pike
743,50.6,58.2,65.7,6.4854,7.7674,Pike
354,48.6,33.1,59,7.5332,5.5515,Pike
1224,52.3,43.7,48.4,9.1372,4.5657,Pike
1553,54.5,53.6,48.8,9.5865,4.0127,Pike
776,46.1,40.3,52.5,9.938,7.2856,Pike
999,55,46.1,63.6,9.6504,6.9329,Pike
1074,51.5,49.5,58.4,9.8644,6.8314,Pike
595,49.8,50.3,57.2,5.2251,5.979,Pike
478,41.8,37.3,51.1,5.3076,4.8113,Pike
1442,55.2,33.4,53.7,10.5666,4.1891,Pike
1226,41.2,48.9,60.6,9.9956,4.7852,Pike
1614,47.9,40.4,57.7,8.1931,6.4942,Pike
344,38.3,47.6,56.1,6.5642,3.9315,Pike
726,43.3,47.4,52.7,10.6682,3.3993,Pike
1202,38,51.6,41.1,8.1861,7.656,Pike
479,45.2,33.5,56.8,7.0871,4.5727,Pike
674,45.9,37.9,48.4,10.7204,4.8967,Pike
1535,57.1,35.4,63.4,7.3377,3.8919,Pike
510,30.5,38.5,39.6,8.606,7.1374,Pike
1397,46.3,53.3,53.1,8.7642,3.9285,Pike
1606,36.6,44.2,67.4,5.2485,3.0344,Pike
356,45.6,35.8,56.8,9.2305,3.0098,Pike
897,32.3,56.8,38.8,10.6593,7.7422,Pike
1610,54.9,38.5,58.3,5.3948,4.4276,Pike
1487,46.7,38.5,63.2,7.6763,5.9654,Pike
1261,33.2,55.7,37,8.3355,3.578,Pike
1329,56.5,47.1,49.1,10.556,6.357,Pike
1092,54.7,42.2,40.4,10.4623,3.1703,Pike
273,55.9,44.7,43.7,6.4612,3.5771,Pike
1343,31.9,41,43.3,6.9061,5.6086,Pike
933,37.2,35.6,53.1,5.2977,3.0892,Pike
1428,49.9,63.8,43.7,8.2679,6.453,Pike
1390,50.5,50,67,5.8072,3.7449,Pike
1205,42.8,42,50.1,6.6076,4.947,Pike
1643,34.3,60,41.5,7.8493,3.656,Pike
1569,48.8,60.6,46.4,5.1791,7.846,Pike
641,32,52.1,61.5,5.9465,7.7458,Pike
1089,44.1,41.8,59.4,10.8145,5.9826,Pike
1228,53.7,47.8,58.5,8.7488,4.2792,Pike
784,38.4,38.3,47,9.9053,7.7246,Pike
1574,52,39,67,5.8002,6.6599,Pike
1159,54.3,62.6,53.4,6.2007,5.0753,Pike
900,41.8,38.8,56.6,8.3747,5.0765,Pike
988,30.9,36.2,39.2,6.2548,7.7894,Pike
766,53.3,61,66.2,10.0715,7.0403,Pike
876,44,38,45.4,5.6544,5.923,Pike
476,51.2,54.1,64.9,5.2505,3.4224,Pike
1128,36,53.3,45.4,8.4946,5.59,Pike
431,33.3,36.8,52.6,8.4468,6.9753,Pike
297,32.5,41.4,37.5,6.3856,4.7914,Pike
1149,46.1,42,55,7.5922,3.1646,Pike
564,43.1,44.8,62.3,6.7193,4.1687,Pike
866,53.8,36.6,42.8,7.2119,4.7803,Pike
1141,58.5,35.3,41.3,9.1011,4.6845,Pike
1038,45.7,47,59.6,5.7428,3.1923,Pike
425,52.5,60.3,60.6,10.904,7.5997,Pike
327,43.7,36.8,34.6,5.7331,4.0973,Pike
1392,44.1,49.5,59.6,7.7577,3.1152,Pike
945,58.8,60.1,43.9,7.4757,7.2997,Pike
612,39,34.1,57.3,10.2021,4.3307,Pike
733,52.6,51.7,36.5,7.0693,3.3001,Pike
219,31.7,63.2,63.1,7.5249,5.6085,Pike
1492,40.6,59.4,59.7,5.2408,7.0269,Pike
595,34.6,45.8,47.9,5.2466,4.2705,Pike
1531,44.1,42,65.5,8.495,7.4416,Pike
225,43.9,58.7,51.9,9.2026,7.7365,Pike
510,57.3,36.4,46.7,6.6755,4.3838,Pike
303,57.2,38.3,63.1,8.6568,3.1391,Pike
851,58,32.4,34.1,5.1645,3.3211,Pike
734,35,34.6,34.1,5.1894,7.1158,Pike
1204,43.3,33.1,55,8.2873,5.8939,Pike
554,33.3,38.1,57.1,7.228,5.6017,Pike
898,43,34.1,34.8,9.3357,3.6642,Pike
321,35.4,59,58,10.3157,3.9697,Pike
285,40.4,50.7,54.1,9.9724,3.6158,Pike
1372,50.9,36,34,5.509,5.1247,Pike
1130,46.2,47.9,59.4,8.356,3.5776,Pike
1436,43.6,56.4,39,10.3137,6.153,Pike
398,43.3,55.3,54,8.6173,7.117,Pike
1418,44.1,37.5,38.9,10.7873,5.0982,Pike
716,34.9,47.3,65.3,9.6667,3.8007,Pike
627,44.7,49.9,44.5,5.3606,5.1918,Pike
1285,48.1,32.6,57.7,10.6356,6.5209,Pike
1389,39.6,63.9,41.9,8.1624,5.7992,Pike
1624,39.9,59.3,35.1,8.1007,5.3785,Pike
993,44.6,34.1,62.1,6.0309,5.726,Pike
1329,31.5,32.6,41.2,7.7519,3.3163,Pike
1050,49.2,53.9,41.5,6.7193,5.7948,Pike
1206,54.9,49.9,42.2,7.0274,3.0489,Pike
1257,36.9,36.9,60.5,9.1788,4.6012,Pike
833,35.8,59.4,41.1,10.0664,6.9883,Pike
679,33.8,35.2,51,6.8537,3.7683,Pike
657,35.8,35.6,60.5,9.2994,7.286,Pike
1480,48.1,53.1,44.9,10.7677,7.8068,Pike
546,39.1,46.8,64,8.2956,5.7461,Pike
1204,34.5,61,54,7.9953,7.8413,Pike
1428,50.2,47.2,64.8,5.9046,5.5059,Pike
313,46.5,63.3,54.7,5.9546,6.2329,Pike
1491,42.1,43.5,50.9,6.1942,4.8761,Pike
1251,43.1,49.8,52.3,5.4556,3.5305,Pike
952,45.3,37.9,62.4,9.3468,3.4101,Pike
706,37.7,38.9,56.1,9.1374,6.9644,Pike
1300,44,39.1,60.3,5.7131,5.2211,Pike
1207,31.5,38.9,60.9,9.3274,7.717,Pike
586,49.1,40,49.1,6.8216,4.0737,Pike
1170,47,56.5,49,9.4883,4.1844,Pike
1571,55.7,43.3,43.8,8.7926,4.961,Pike
202,51.6,62.5,35,9.2116,6.2906,Pike
302,33.2,47.3,48.7,7.2154,3.3141,Pike
874,55.6,63.2,56.2,10.1475,3.5652,Pike
256,46.7,57.6,38.4,5.2481,4.9552,Pike
804,42,48.1,61.1,8.5929,5.6794,Pike
677,37.3,32.3,66.9,8.0982,3.0724,Pike
1257,43.2,44.1,58.1,10.2832,3.3774,Pike
1438,32.7,57.7,52.4,5.2269,7.806,Pike
1140,40.5,60.1,47.7,5.1094,3.6353,Pike
884,10.5,38.6,20.3,8.8739,2.8032,Perch
683,32.2,24.7,12.5,10.5186,3.4434,Perch
384,31.4,40,21.3,8.3085,3.0045,Perch
54,23.5,18.3,40.4,8.5115,4.0667,Perch
137,13.3,21.8,35.3,8.3722,2.2396,Perch
884,13.2,30.1,26.1,2.2698,5.5196,Perch
448,33.6,20.1,28.4,3.9082,6.4668,Perch
75,24.7,10.7,38.3,6.1968,6.6816,Perch
716,35.3,9.8,17.5,12.3075,4.9676,Perch
309,14.2,8.4,31,12.9119,5.2153,Perch
225,38.1,17.1,44.2,6.9399,1.1929,Perch
544,36.4,32.2,30.3,6.76,6.6808,Perch
879,23.2,9.4,35.3,3.5763,2.1726,Perch
715,8.5,22.6,31.9,12.9902,3.6349,Perch
670,36.2,24.8,23.2,10.2829,7.7728,Perch
531,9.6,42.9,11.7,7.4976,1.7369,Perch
967,16,19.1,13.3,12.649,6.0479,Perch
349,16,8.9,26.5,2.5722,3.2491,Perch
1008,26.9,39.2,30,6.6103,4.9389,Perch
522,38.3,13.5,14.4,3.5409,5.0151,Perch
8,15.7,15.8,40.3,10.9081,6.7144,Perch
882,37.6,34.7,37.1,12.9298,5.693,Perch
438,37.6,29,26.6,12.1816,6.4225,Perch
442,17,33.9,25.6,12.2698,6.9505,Perch
48,19.6,23,19,4.3533,2.4645,Perch
820,35.4,19,26.6,6.7505,4.0425,Perch
462,16.8,12.2,16.3,4.7371,3.6457,Perch
161,28.8,26.5,10.1,2.0125,3.6244,Perch
983,17.5,42,30,3.6574,2.5807,Perch
